Id,name,relicTime,type,metiral,author,descriptoin,imageUrl,moreUrl,museum,location,simpleTime
1,  teapot in shape of a seal wrapped in cloth         Not Currently on View   Image Licensing   , 1993 ,teapot, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25684/0_preview.jpg,http://collection.imamuseum.org/artwork/25684/,imamuseum,United States
17,"  couple in mid-nineteenth century dress  Maude Eggemeyer (American, 1877-1959)       Not Currently on View   Image Licensing   ", late 19th century - mid-20th century ,couple, hand-colored lithograph ,"  Maude Eggemeyer (American, 1877-1959)  ",null,http://collection.imamuseum.org/artwork/75688/0_preview.jpg,http://collection.imamuseum.org/artwork/75688/,imamuseum,United States
18,"  farmer gardening  Follower of Dai Jin (Chinese, 1388-1462)       Not Currently on View   Image Licensing   ", Ming dynasty ,farmer, ink and color on silk ,"  Follower of Dai Jin (Chinese, 1388-1462)  ","       Gallery Label   Provenance      Dai Jin was a painter in attendance to the early Ming court and is the acknowledged head of what has become known as the Zhe School of painting. Named after Zhejiang province where Dai was born, the Zhe School of painting is characterized by using painting styles that were popular during the Song dynasty, 960-1279. These include such features as angular, sharp-faced rocks and one-sided compositions, often diagonally juxtaposing nearby objects to views into distant space. Though most court figure painting portrayed elite people of the time or past cultural paragons, there was also a tradition of genre painting that depicted ordinary people, particularly farmers and fishermen.   Mrs. John H. Roberts (Betsy)*; Hurwitz; IMA.*most all of the Roberts paintings came from Senator Green of RI.      ",http://collection.imamuseum.org/artwork/43541/0_preview.jpg,http://collection.imamuseum.org/artwork/43541/,imamuseum,United States
19,"  Daruma  Kawanabe Kyōsai (Japanese, 1831-1889)       Not Currently on View   Image Licensing   ", Edo ,Daruma, ink on paper ,"  Kawanabe Kyōsai (Japanese, 1831-1889)  ","       Gallery Label   Related Text   Provenance      達磨図 Bodhidharma, the first Chinese Chan (Zen) patriarch, is said to have meditated facing a wall for nine years at the Shaolin monastery. He is the embodiment of fierce and unflagging determination. Yet it is difficult to decide whether the furrowed brows and grimacing mouth of Kyosai's figure signal firmness of will or befuddlement. The image fits into a long tradition of humorous caricature of Zen patriarchs. Determinedly rejecting superficial attractiveness or saccharine religious emotion, Zen art frequently seems iconoclastic and irreverent. Reflecting the spirit of its practitioners, Zen art emphasized getting to the heart of the matter rather than getting hung up on appearances. Kyōsai was a devout Buddhist.   Daruma Parodies ""“The founder of Zen Buddhism, known in Japan as Daruma, was represented in certain standard ways in Buddhist painting. Daruma was often pictured with a large nose, mustache, earrings, and dressed in a red monk's robe, all suggestive of his foreign origins. Parodies on the traditional representation began to appear in the seventeenth century. In color woodblock prints, Daruma might be paired with a courtesan, say, in a juxtaposition of beauty and beast, profane and sacred. The two were placed together in a variety of amusing juxtapositions: the courtesan sometimes appeared dressed in Daruma's garb, while Daruma wore her kimono. When Daruma had been parodied over and over, the ‘rules' were effectively flouted with interesting results.”Hardacre, Helen, and Adam L. Kern. New Directions in the Study of Meiji Japan. New York: Brill, 1997, p. 114.""  Portraits of Daruma ""“Daruma (Bodhidharma) is venerated as the semi-legendary founder of Zen Buddhism: Of the brahmin class of southern India, in about AD 520 he took the faith to China, where he received the patronage of the Emperor Wu Di of the Liang (AD 464-549). At Shao Lin Temple on Mt Song he sat in meditation for nine years facing a wall before passing on the Zen teaching to his pupil. Portraits of Daruma as a hirsute Indian monk of forceful mien with bushy eyebrows and rings in his long earlobes, seated in meditation wearing simple monastic robes, were a common subject done by medieval Zen monk-painters, as an object of their veneration. Often the treatment was humorous and eccentric, occasionally even irreverent. Daruma also entered the repertoire of Kan?-school artists early on: there are famous extant portraits of him by Motonobu and Tan' y?, and one by some time in 1885. The heavily modulated, flowing brushwork in the robes of the present scroll is very much in the Edo Kan? tradition, though this drapery is more windblown and the facial features more rugged than in Tan' y?'s urbane Daruma portraits of the mid-seventeenth century. There is also a slight, almost intangible measure of Western influence in the foreshortening of the eyes to account for the head being slightly turned. Another portrait by Ky?sai in similar style, but with Daruma staring out at the viewer, is in the Tiger Collection, USA.”NB: The last work discussed is either the IMA's Daruma or an exact match.Clark, Timothy. Demon of Painting: The Art of Kawanabe Ky?sai. London: British Museum Press, 1993, p. 79.""   (Leighton Longhi, New York); purchased by Alan J. and Ann Strassman, Wellesley, Massachusetts; purchased by the Indianapolis Museum of Art in 2000.      ",http://collection.imamuseum.org/artwork/71638/0_preview.jpg,http://collection.imamuseum.org/artwork/71638/,imamuseum,United States
20,"  Scholar Viewing a Lake  Kanō Tan'yū 狩野探幽 (Japanese, 1602-1674)       Not Currently on View   Image Licensing   ", Edo ,Scholar, ink and color on paper ,"  Kanō Tan'yū 狩野探幽 (Japanese, 1602-1674)  ","       Gallery Label   Related Text      In the lower left corner a Chinese gentleman and his attendant look out upon a vast, watery panorama, with humble huts hugging the shoreline, boats moored among reeds, and large buildings against a backdrop of distant mountains. The use of light ink washes to capture the drifting banks of mist results in a gentle lyricism. In vivid contrast to the soft, atmospheric treatment of the distant objects, dark black ink was used to outline the crystalline top of a rock and the contorted trunk of an imposing pine tree. The strength of form and the sharp, crisp strokes used for the pine needles and branches boldly and energetically anchor the composition. Tan'yû, often called the ""revitalizer of the Kanô&nbsp;school,"" was official painter to the shōgun and the foremost artist of his day.   Indianapolis Museum of Art: Highlights of the Collection (2005) In this vast, yet intimate landscape, a scholar and his attendant in the lower left corner gaze upon a watery expanse with houses and boats on the shore, as banks of mist drift among distant mountains. The artist, Tan'yu, was head of the main branch of the Kano School and the Tokugawa shogun's official painter. Kano School painters were the principal practitioners of kanga, literally, “Chinese painting,” which blended domestic and imported Chinese painting styles. Tan'yu's brushwork, for example, owes much to the Southern Song dynasty painter Xia Gui. Favoring strongly modulated linework and a Chinese-flavored repertory of themes, Kano painters enjoyed the lucrative patronage of the samurai ruling class, and the Kano School would reign supreme for almost four hundred years, from the 16th century on.In China, landscapes had emerged as the most popular subject for painting by the year 1000. Besides the pleasure of admiring an artist's skill in capturing scenic beauty, a viewer could travel in heart and mind, if not in body, to unsullied places, gaining the benefits of walking amidst mountains and streams without leaving home. According to the 11th-century painter Guo Xi, a virtuous man nourishes his nature in rustic retreats, delighting in streams and rocks, meeting woodcutters and hermits, and watching wild animals at play.      ",http://collection.imamuseum.org/artwork/71642/0_preview.jpg,http://collection.imamuseum.org/artwork/71642/,imamuseum,United States
21,"  Li Bai Gazing at a Waterfall  Shibata Zeshin (Japanese, 1807-1891)       Not Currently on View   Image Licensing   ", Edo ,Li, ink and color on silk ,"  Shibata Zeshin (Japanese, 1807-1891)  ","       Gallery Label   Provenance      李伯観瀑図 Li Bái (701–762), one of China’s greatest poets, spent years wandering throughout China in political exile. Through his poetry and lifestyle he came to symbolize freedom, spontaneity, and the refusal to be shackled by conventions. With his beloved wine gourd and an attendant nearby, he leans back on his hands in awe of the natural beauty of a towering cataract. The theme of a scholar admiring a waterfall is often associated with Li Bái and his poem “The Ballad of Mount Lu.” Zeshin was both a lacquer artist and a painter. The long, fluid lines of even tonality in the leaves and grasses, the oily quality of the coloring for the rocks, and the way the figures seem to be cut out and laid upon the surface recall lacquer decoration.   Purchased by the Indianapolis Museum of Art in 2000      ",http://collection.imamuseum.org/artwork/70083/0_preview.jpg,http://collection.imamuseum.org/artwork/70083/,imamuseum,United States
22,"  Border Design  Armand Seguin (French, 1869-1903)       Not Currently on View   Image Licensing   ", 1904 ,Border, wood-engraving on china paper ,"  Armand Seguin (French, 1869-1903)  ",null,http://collection.imamuseum.org/artwork/11619/0_preview.jpg,http://collection.imamuseum.org/artwork/11619/,imamuseum,United States
23,  fireman's coat (hikeshi sashiko hanten)  Meiji       Not Currently on View   Image Licensing   , Meiji ,fireman's, cotton , Japanese ,"       Gallery Label      The interior of firemen's coats were decorated in a freehand style to reflect the individual taste of the wearer. The design was applied with a paste before the textile was dyed and then hand-painted in the areas where the dye was resisted. The interior (shown) of this coat depicts the Soga brothers. The legend has it that 16 years after their father was murdered, the brothers set out to avenge his death. At the foot of Mt. Fuji, after bidding farewell to each other, they assassinated their father's killer during a raging storm.      ",http://collection.imamuseum.org/artwork/75683/0_preview.jpg,http://collection.imamuseum.org/artwork/75683/,imamuseum,United States
24,"  Calligraphy  Dong Qichang, Calligrapher (Chinese, 1555-1636)       Not Currently on View   Image Licensing   ", Ming dynasty ,Calligraphy, ink on paper ,"  Dong Qichang (Chinese, 1555-1636)  ","       Gallery Label   Provenance      行書詩 Inscribed:  樹杳高峯立, 遙然溪流激, 江花迎我棹, 山影上人衣   Atop distant trees erect stands a soaring peak;From afar, the restless sound of mountain brook.River and flowers greet my returning boat;Mountain shadows scramble up my cloak. [tr. Irving Lo]  Written in cursive script, the individual characters here look almost haphazardly scrawled. Yet overall the composition has balance, rhythm, grace, texture, and contrast—similar in effect to a rich, symphonic piece. Dong’s fame as a calligrapher spread throughout China during his lifetime, and he is still regarded today as an artistic giant.   Irving Yucheng Lo and Lena Dunn Lo, Saint Peter, Minnesota; given to the Indianapolis Museum of Art in 2003.      ",http://collection.imamuseum.org/artwork/78750/0_preview.jpg,http://collection.imamuseum.org/artwork/78750/,imamuseum,United States
25,"  Immortals Celebrating a Birthday  Chen Hongshou 陳洪綬 (Chinese, 1599-1652)       Not Currently on View   Image Licensing   ", Qing dynasty ,Immortals," ink and color on silk, hanging scroll ","  Chen Hongshou 陳洪綬 (Chinese, 1599-1652)  ","       Gallery Label   Related Text   Provenance      仙人獻壽圖 Chen's inscription reads  茂才道盟兄于已丑季夏,四旬初度。其弟茂齊索畫寄壽。壽酒當俟太平時,與丁秋平為黃白之遊索飲耳。  In late summer of 1649, it will be the fortieth birthday of Maocai, my venerable sworn elder brother. His younger brother, Maoqi, requested a painting [from me] to be sent as a birthday gift.&nbsp; I will save the birthday wine until peace comes. Only by then, (my friend) Ding Qiuping and I will ask for it when we make trips to the immortal's fairyland.  [tr. M. Wu]   Indianapolis Museum of Art: Highlights of the Collection (2005) The long, simple drape of ancient fashions and the exaggerated facial features, clarity of forms, and smooth coloring allude to antique painting styles, giving this image an iconic quality. The cross-eyed male servant seems almost bored as he stands playfully holding a dragon-headed staff that compresses his nose and lips. The host-the one ladling wine-and the two guests are immortals, who may well parallel the people mentioned in the inscription on the painting: the birthday celebrant; the brother who commissioned the painting; and the painter, Chen Hongshou.One of the leading artists of the late Ming dynasty, Chen is among the great figure painters in the history of Chinese painting. This richly detailed painting is one of his finest works and illustrates the peak of his mature style. Elsewhere in his inscription, Chen boldly declares his allegiance to the fallen Ming dynasty and hints at the chaotic times that followed the conquest by the northern Manchus, who established the last dynasty, called the Qing, which ended in 1911.This work is from a collection of twenty-eight paintings acquired by the IMA in 2004. The collection spans almost four hundred years, with particular emphasis on the mid-1600s, when China underwent the profound political shift from the native Ming dynasty to the Qing.In late summer of 1649, it will be the fortieth birthday of Maocai, my venerable elder brother. His younger brother, Maoqi, requested a painting to be sent as a birthday gift. I will save the birthday wine until peace comes. . . .-Inscription by Chen Hongshou, 1649   Taiwan collector, K. S. Wong, Hong Kong, China; James Freeman 19 June 1983; (Henry Harrison, Lincoln, Massachusetts); purchased by the Indianapolis Museum of Art in 2004.      ",http://collection.imamuseum.org/artwork/71606/0_preview.jpg,http://collection.imamuseum.org/artwork/71606/,imamuseum,United States
26,"  Beautiful Woman Presenting Longevity OR Female Immortal with Day Lilies  Du Jin 杜堇 (Chinese, 1465-1509)       Not Currently on View   Image Licensing   ", Ming dynasty ,Beautiful, ink and color on gold-flecked paper ,"  Du Jin 杜堇 (Chinese, 1465-1509)  ","       Gallery Label   Provenance      美人獻壽 or 西王母介壽圖 Among the various symbolic meanings of the lily in China are longevity, abundance, and summer. Its name in Chinese, băihé 百合, implies “100,” as in multiplying fortune a hundredfold, or a marriage or life lasting a hundred years. From the comments on the painting by Gu Kexue 顧可學 of the early 1500s, we know this was painted for the birthday celebration of a friend’s mother.   Wu Yun [1811-1883]. Luo Zhen yu [1866-1940]. Usui Ryushi [1829-1916].{1} Yamamoto Teijiro [1867-1937]; Fujii Yurikan Museum, Kyoto; (James Freeman, Kyoto); purchased by the Indianapolis Museum of Art in 2004.{1} box inscription      ",http://collection.imamuseum.org/artwork/70988/0_preview.jpg,http://collection.imamuseum.org/artwork/70988/,imamuseum,United States
27,"  Mounumental Landscape  Hongren (Chinese, 1610-1663)       Not Currently on View   Image Licensing   ", Qing dynasty ,Mounumental, ink on paper ,"  Hongren (Chinese, 1610-1663)  ","       Gallery Label   Related Text   Provenance      In the fall of 1662, a learned man from the Jian River region, Hongren A scholar has written about this painting that ""…when standing in front of this work, a viewer is dwarfed by Hongren's impressive landscape. Dated only one year prior to Hongren's death in 1663, his gigantic scroll…can be heralded as one of the artist's best works; his swansong… It is majestic, imposing, and awesome.""   Indianapolis Museum of Art: Highlights of the Collection (2005) At nearly ten feet high, this monumental landscape is one of Hongren's largest known works. The painting invites the viewer to enter at a point between the pines in the foreground and enjoy the calm surface of the water at the foot of a majestic mass of mountains.Hongren's hometown was near Huangshan, or Yellow Mountain, one of the great, scenic mountains in China. He fled south during the Manchu invasion and returned several years later, after the turmoil of dynastic change had subsided. Like many others, he became a monk to avoid political difficulties; Hongren, the Buddhist name he took, is how he is now known.The Huangshan region was not only one of spectacular vistas, but during Hongren's time was very economically prosperous. The area's affluence nourished many artists, who depicted the mountainous landscape, often with dry, sparse brushwork. Hongren, who was acknowledged during his own time and by later critics as one of the greatest painters of the mid-1600s, is traditionally known as one of the Four Great Masters of the Xin'an district. Unlike many of his smaller works, which have a compositional simplicity, this looming, elaborate image is almost overwhelming. Created one year before Hongren's death, it has been called his swan song.People . . . regarded possession of a painting by Hongren, or the lack thereof, as determining one's refinement or vulgarity.—Scholar, official, and connoisseur Zhou Lianggong, 1612–1672   K. S. Wong, Hong Kong; [James Freeman, Kyoto]; purchased by the Indianapolis Museum of Art in 2004      ",http://collection.imamuseum.org/artwork/50299/0_preview.jpg,http://collection.imamuseum.org/artwork/50299/,imamuseum,United States
28,"  Narcissus, Rock, Bees and Linghzhi  Ju Lian (Chinese, 1828-1904)       Not Currently on View   Image Licensing   ", Qing dynasty ,"Narcissus,", ink and color on paper ,"  Ju Lian (Chinese, 1828-1904)  ","       Gallery Label      The narcissus is a symbol of the New Year and, hence, spring. The buzzing bees help emphasize a sense of vigor and growth. The rock, with sacred fungus, or língzhi, growing on it, connotes longevity. The combination of narcissus, bamboo, and longevity rock (shòushí) is also a traditional birthday arrangement, with the bamboo (zhú) representing the word ""wish"" (zhù ?), which has a similar but not identical pronunciation. Ju Lian was a renowned bird-and-flower painting master in the Lingnan region of southeastern China. His disciples founded the Lingnan School, which is still influential today.      ",http://collection.imamuseum.org/artwork/69311/0_preview.jpg,http://collection.imamuseum.org/artwork/69311/,imamuseum,United States
29,"  wedding dress  I.W. Caley, Manufacturer       Not Currently on View   Image Licensing   ", 1875 ,wedding," silk satin, orange blossoms, silk netting with cotton petticoat ",  I.W. Caley  ,"       Gallery Label   Provenance      Ellen Seppings wore this dress when she married Josiah Pratt Clowes in England.In the 1870s, the style of skirts changed from a full-bell shape to the half-bell shape, creating a flatter, smoother effect in the front and moving fullness towards the back, using the bustle.The tradition of using orange blossoms came to the West from China through the ancient Silk Road. During the Crusades, the custom was brought from the East to Spain and then to the rest of Europe.The orange blossom is a symbol of fertility because it is one of the few trees that blooms and bears fruit at the same time.   The dress belonged to Ellen Sepping (1839-1914) who married Josiah Pratt Clowes in 1875. These are the parents of George Henry Alexander Clowes who married Edith Hinkel and who was the father of Allen Whitehill Clowes.      ",http://collection.imamuseum.org/artwork/31562/0_preview.jpg,http://collection.imamuseum.org/artwork/31562/,imamuseum,United States
30,  komainu  Muromachi       Currently on View in K302   Image Licensing   , Muromachi ,komainu," cyrpress wood, gold lacquer (Urushi), and crystal ", Japanese ,"       Gallery Label      ??Komainu are lion-like guardian dogs usually placed at the entrances to temples and shrines. Koma is the Japanese name for Koguryo, an ancient Korean kingdom, and inu means dog. This indicates that the motif may have come to Japan from China via Korea. Technically, only an animal with the horned head and closed mouth is called komainu. This distinction was lost over time.      ",http://collection.imamuseum.org/artwork/75694/0_preview.jpg,http://collection.imamuseum.org/artwork/75694/,imamuseum,United States
31,  komainu  Muromachi       Currently on View   Image Licensing   , Muromachi ,komainu," cyrpress wood, gold lacquer (Urushi), and crystal ", Japanese ,"       Gallery Label      狛犬 Komainu are lion-like guardian dogs usually placed at the entrances to temples and shrines. Koma is the Japanese name for Koguryo, an ancient Korean kingdom, and inu means dog. This indicates that the motif may have come to Japan from China via Korea. Technically, only an animal with the horned head and closed mouth is called komainu; the animal with the open mouth is a lion (shishi). This distinction was lost over time.      ",http://collection.imamuseum.org/artwork/75611/0_preview.jpg,http://collection.imamuseum.org/artwork/75611/,imamuseum,United States
