Id,name,author,relicTime,descriptoin,imageUrl,moreUrl
11,Disk,China,Han Dynasty (206 BCE - 221 CE),"Disk with center hole, decorated on both sides in bas relief. Obverse: a deerlike animal and two floral sprays.",http://emuseum.toledomuseum.org/internal/media/dispatcher/16554/preview,http://emuseum.toledomuseum.org/objects/63942/disk?ctx=915d6f8b-8854-4bb6-a811-4c47f6e9d21c&idx=79
12,Title,Author,Description,relicTime,moreURL,imageURL
13,figures (bronze),China,figure of a prowling animal.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18416,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
14,figures (bronze),China,"bronze bird, probably part of a finial.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18461,"https://iiif.durham.ac.uk/iiif/trifle/5a/d9/00/5ad900da8efc8b43831ff5446aef3c56/77ef23705371e6080b79482f52e44dd8.jp2/full/!400,400/0/default.jpg"
15,vessels (bronze),China,Foot of a vessel in the shape of a bear. Bronze with traces of gilding and inlaid with turquoise.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18462,"https://iiif.durham.ac.uk/iiif/trifle/18/7a/14/187a14f15c8f472e8b60028c3349c43a/3bf794c75f242b5ef89559ba69cacd02.jp2/full/!400,400/0/default.jpg"
16,figures (bronze),China,"bronze frog, gilded.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18418,"https://iiif.durham.ac.uk/iiif/trifle/91/5a/b4/915ab468e29970521c374adc6f5b39c4/7f9bd3f013e877c3d4bdeb46469213ef.jp2/full/!400,400/0/default.jpg"
17,figures (bronze),China,"figure of a kneeling animal, Ordos type.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18415,"https://iiif.durham.ac.uk/iiif/trifle/89/aa/ef/89aaef7d6a085239be50178a89321017/8a60cfe96b1d3dbdf59cc651eb8d4496.jp2/full/!400,400/0/default.jpg"
18,Plaque (bronze),China,bronze plaque in the shape of a horned bull's head. Ordos type.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18414,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
19,figures (bronze),China,"bronze figure of a standing horse of heavy build, with arched tail. Ordos type.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18412,"https://iiif.durham.ac.uk/iiif/trifle/06/b9/25/06b925c07c7ee9a4eafb9aeabbf015fa/3dedbf6c4956e6c4a54a6c975fe9cbbd.jp2/full/!400,400/0/default.jpg"
20,mirrors (brass),China,"Chinese brass mirror, circular with perforated central boss and slightly raised broad rim. In the central design are the animals of the four directions, the sun and moon, encircled by an inscription meaning ""The mirror made in the largest factory is truly of the highest quality. On it is an immortal who never grows old. When thirsty, he drinks from the Jade spring, when hungry, he eats fruit of the Jujube tree. He floats over the seas and roams over the world..the metal or stone. This mirror is to the..a natural treasure indeed."". The central knob would have had a cord looped through it from which it could be held.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS22061,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
21,Fitting; handles (bronze),China,"Bronze fitting in the form of animal masks with compelling, square eyes and enormous horns, the nose turns downwards to form a hook. Had probably holded a ring through the hook and used as handles for furniture.",language-related concepts – Chinese – Zhou – Eastern Zhou – Warring States; Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9559,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
22,bowls (Bronze bowl with everted rim and two sets of double line engraving on the inside. Crack and hole to the side.),China,"Bronze bowl with a flat base and sloping sides, the rim is everted. On the inside of the bowl are two bands of double concentric rings finely engraved, one is near the centre and the other is further out on the flat base. There is some damage, in one place there is a crack which starts at the rim and runs down the side, there is also a seperate hole in the side of the bowl. A sticker is attached which reads 'Korean rice bowl' and an accompanying label states that this piece is from a sale from 'an old tomb in Korea'. The style of the piece means that it could originate in either Korea or China.",Proto - Three Kingdoms Period; Three Kingdoms Period (Korea); Han dynasty; Silla Dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS21947,"https://iiif.durham.ac.uk/iiif/trifle/97/84/40/978440c492e5608395657111cac06447/130040efad73131bb65d21caae8152bc.jp2/full/!400,400/0/default.jpg"
23,Fitting; handles (Bronze),China,"Pair of bronze fittings in the form of animal masks with compelling eyes, enormous eyebrows and horns; there is an upside-down V shape mark on the forehead of the masks. The noses of the monsters extend and bend downwards to form a hook. There is a small projection at the back of the masks. Hooks on both fittings are broken. They had probably holded a ring through the hook and used as handles for furniture.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9026,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
24,ornaments (Bronze),China,"Bronze ornament plaque in roundel form, carved as a figure with horned face, monster body and bifircated tail. The horns are curl, looking like the horns of a sheep. There are scales all over the body of the monster. Below the tail of the monster there is a small animal, probably a gecko or a mouse. Ornament for northern nomadic traibe in Western Han dynasty. An identical object excavated in inner Mongolia.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9165,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
25,iron; ladles (Bronze),China,"Bronze iron in the form of a large ladle with straight handle, terminal of handle shaped as a dragon. The main body of the iron is in the form of a shallow bowl with a relatively flat base and flat wide rims; the bowl is used for storing hot water.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9473,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
26,figures; Tomb Model (Pottery),China,"figure of a dog, with head raised and ears pricked, standing on four legs, its tail curled over its back, wearing a strap harness terminating in a loop on its back, the red pottery covered with traces of an iridescent pale greenish glaze.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19138,"https://iiif.durham.ac.uk/iiif/trifle/50/57/3d/50573ded7323ee87783564db6d99d1d5/b8359606897d8ada0bd40876662511a1.jp2/full/!400,400/0/default.jpg"
27,Eye Protector (jade),China,"Two pieces of jade in the shape of human eyes, green with brown markings; decorated with incised lines depicting the eye; used for burial purpose as Eye jade, or part of a jade mask.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13132,"https://iiif.durham.ac.uk/iiif/trifle/d6/7f/a9/d67fa9c43d146106d21a3237ed400813/9f43de81bfda11f7390fe02439e74f8e.jp2/full/!400,400/0/default.jpg"
28,figures; Plaque (lead),China,"Lead plaque figure in the shape of a standing woman, probably used for burial purpose.",Han dynasty; language-related concepts – Chinese – Tang,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18393,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
29,Mouth Jade; amulets (Nephrite carving with incision),China,"Brownish red nephrite mouth jade in the shape of a cicada, with deep brown markings; incised with thin lines depicting body parts. Used as mouth jade to be placed in the mouth of the deseased.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8410,"https://iiif.durham.ac.uk/iiif/trifle/ed/a0/ba/eda0ba96c38c01b6c10c96715cfbe25c/65b97981d4d91cb4ed49f3a395a86d06.jp2/full/!400,400/0/default.jpg"
30,Axle-caps (Cast bronze),China,Heavy bronze chariot axle-cap with two oblong perforation. No decoration except for a ring around the body.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19390,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
31,pots (Painted earthenware jar),China,"Earthenware, painted cocoon jar, which is oval in shape with a flat base, flared rim with a slight ridge to it. Decorated with white and black slip, and red and brown powder pigment. While the white swirls represent the movement of Qi (cosmic force', the alternating red and black vertical bands are thought to be modelled after the decorative styles of early Chinese lacquer ware.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS27560,"https://iiif.durham.ac.uk/iiif/trifle/0b/e1/9e/0be19edb7ae62139f937882abbd9e367/9d0a7b599cec06ffea318b03d5cdde18.jp2/full/!400,400/0/default.jpg"
32,models; figures (Earthenware with green glaze),China,"Red earthenware, covered with pale green glaze.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8656,"https://iiif.durham.ac.uk/iiif/trifle/17/70/c1/1770c1334359a822896cc2154db2efcc/2ae6eb7d22335b1098b5374b4504340f.jp2/full/!400,400/0/default.jpg"
33,"mirrors (Olive green steatite, carved.)",China,"Hardstone mirror, decorated with carved turtoise pattern surrounded with the Four Godly Animal motif, including the Dragon (Qinglong), Tiger (Baihu), Phoenix (Zhuque), and Turtoise-serpentine (Xuanwu), the edge slightly-raised; there is a perforation in the centre, through the body of the turtoise; probably for ritual or burial use.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9594,"https://iiif.durham.ac.uk/iiif/trifle/d9/7a/8e/d97a8ea9cb334b84b6a4702e4bcbf720/dbc9a5caed831e7c348174933c8b14ff.jp2/full/!400,400/0/default.jpg"
34,mirrors (Green serpentine with brown markings.),China,"Jade mirror in circular shape; reverse, a pierced shank with carved Taiji pattern; probably for burial use.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8827,"https://iiif.durham.ac.uk/iiif/trifle/92/a7/38/92a738dcbd8f363e9a9474a76d369155/741883ce1330b179a8330b0599734540.jp2/full/!400,400/0/default.jpg"
35,Pendant; figures (Pale green nephrite carving),China,"Pale green nephrite pendant/amulet carved in the shape of a cicada with convex eyes and wide mouth, body details such as wings, belly etcs are presented with engraved thin lines, typical Han dynasty style [see Notes]. There is a perforation at the mouth through the head, uncommon. The perforation suggests the object is a pendant/amulet rather than a mouth jade. There are some brown corrosion at the reverse of the pendant.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9114,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3419.JPG
36,amulets (Brown nephrite carving),China,"Brown hardstone carving of a tortoise shell pierced through middle, surface and back decorated with thin lines depicting patterns of the shell. Tortoise shell was used for divination, while this one was probably an amulet made in imitation of the divination type [see Iconography].",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8836,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3034.JPG
37,models; figures (Eathernware covered with green glaze.),China,"Earthenware, covered with pale green glaze.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8663,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3964.jpg
38,"Pendant; figures (Pale green jade, slightly translucent)",China,"Pair of jade pendant in the shape of human figure (Chinese:玉翁仲, pinyin: Yu Wengzhong, simplicitic style; both men with long bear, wear long robes that falls to their feet and rounded hats; There is a hole on top, in the centre of the hat, and two other holes under both sleeves; probably used as a component of a pendant set.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8408,"https://iiif.durham.ac.uk/iiif/trifle/52/e2/f5/52e2f5f54c2ac2d5c485917aef354d02/06a287a010b186bf913aeeb0f8995b2a.jp2/full/!400,400/0/default.jpg"
39,rulers (Cast bronze with carved patterns.),China,"Bronze ruler with carved geometric, diamond patterns. The ruler is about 23.75cm long and the patterns are about 1.2cm long each. There is a drilled hole at one end and three carved triangles at the other end. Back, a piece of fabric attached to the ruler. Not inscribed.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9596,"https://iiif.durham.ac.uk/iiif/trifle/4b/26/69/4b2669c9d5938ab177e520ca07ae9ae9/f2aa0904cbd282067b081091d704c651.jp2/full/!400,400/0/default.jpg"
40,Fitting (Bronze with gilt),China,"Bronze fitting in the shape of an animal mask with compelling eyes, the nose extends and bends down to form a hook. There is a projection at the back of the mask. There is a perforation on the projection and on the hook. The hook had probably holded a ring which was a handle.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8671,https://discover-old.durham.ac.uk/primo-explore/fulldisplay?docid=44DUR_ADLIB_DS8671&context=L&vid=44DUR_VU4&lang=en_US
41,"Pendant (Brown nephrite carving, perforated)",China,"Brown nephrite pendant carved in the shape of paired fish-dragon, inscribed front and back. The pendant is in the form of vertical, paired animal whose head shows features of dragon, while tail shows features of fish. On the head, wide mouth, square nose and triangle eyes, followed by grills. Inscribed both front and back with single character Tong, meaning alike or unity. There is a perforation at the mouth of each fish-dragon.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9574,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.4054.JPG
42,amulets; figures (Grey nephrite carving),China,"Dark grey nephrite amulet carved in the shape of an empty tortoise shell, with lines dipicting patterns on the shell both at the surface and at the bottom. Probably made in imitation of a divination tortoise shell [see Iconography].",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8835,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3033.JPG
43,Pendant (Deep olive-brown nephrite carving),China,"Deep olive-brown nephrite pendant in the shape of paired fish-dragon, carved details of the face, gills and tail of the fish-dragon, inscribed. The pendant is in the form of a pair of parelled animal whose head is in dragon form, while body and tail are in fish form.On the heads, square noses showing feature of dragon; tails, bifircated. One side of the pendant is inscribed with a single character Tong (means lane/unity). Probably an early form of the double fish motif .",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9576,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.4056.JPG
44,Belt Hook (Bronze with incised decoration),China,"Bronze belt hook with incised decoration. The hook is in the form of the head of a bird. Front of body, four parallel lines near the neck; centre, two pairs of scrolls opposite each other, in between there are six parallel lines. Reverse, a large round knob inscribed with a character.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8448,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
45,censers; incense burners (Cast bronze with openwork decoration.),China,"Bronze censer on three legs and has a long L shaped handle, the cover decorated with openwork scroll patterns. The form and design are typical late Eastern Zhou period to Han dynasty style. See [Association] and [Notes].",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS7646,"https://iiif.durham.ac.uk/iiif/trifle/05/51/ee/0551eef89146d5f3c848fa821006bbe4/96d7caacd640eb4ee4a76e4185fcd3fb.jp2/full/!400,400/0/default.jpg"
46,Pendant; figures (Yellowish green nephrite carving),China,"Yellowish green nephrite carving of a cicada, flat, with thin lines depicting eyes, wings and other body parts; calcified inside. Drilled holes at the mouth, suggesting the object is a pendant not a mouth jade.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9139,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3466.JPG
47,amulets (Dark grey hardstone carving),China,Dark grey hardstone amulet carved into the shape of an empty tortoise shell with thin lines depicting patterns on the shell. Probably made to imitate divination tortoise shell [see Iconography].,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8981,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3226.JPG
48,Back Protector (Brown-green nephrite with olive markings.),China,Large piece of brown-green nephrite with a central perforation and vertical cavity at the back; probably used for burial purpose as a back protector.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8522,"https://iiif.durham.ac.uk/iiif/trifle/14/2d/82/142d8288a7a1f52c6c2f5f156183fa04/8a4d376dd8845b9d6bcf77f9008eb516.jp2/full/!400,400/0/default.jpg"
49,Plaque; Womb Protector (Reddish brown nephrite carving),China,"Piece of brown nephrite carving in a rectangular shape with slightly curved inward and outward rims; back, a boss with incised Tai ji motif; probably for burial purpose.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8574,"https://iiif.durham.ac.uk/iiif/trifle/03/37/04/0337041a6808e82a9704cae411b93c9c/a8ba474af4cff34991d190f768933750.jp2/full/!400,400/0/default.jpg"
50,Scabbard Slide; scabbards (Yellow jade with carved decoration.),China,"Jade scabbard slide in long rectangular shape, a rectangular loop on the underside, and the two ends are turned over sharply; the upper surface, decorated with carved Grain pattern on Straw pattern ground.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8339,"https://iiif.durham.ac.uk/iiif/trifle/30/60/aa/3060aaf957f36b337474b2359a950b34/a71c925c80432fc230319110118af366.jp2/full/!400,400/0/default.jpg"
51,Feet Protector (Pale green nephrite carving.),China,"Two pieces of pale green nephrite carving in the shape of a pair of feet, with incised lines depicting toes; used for burial purpose. The object is made as a replica of the human body rather than a stylised protective plate. Bespoke stands made for display stored with objects.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8552,"https://iiif.durham.ac.uk/iiif/trifle/55/0a/ce/550ace5f6e91075ac81be9b8f792d8ca/94369616c8a26a03c89a39f157f98df6.jp2/full/!400,400/0/default.jpg"
52,Disc (Nephrite jade with incised decoration),China,Jade disc imitating the shape of the ritual disc Yuan (a special type of Bi with a bigger circular hole). Decorated with single lines on both outer and inner edges. Probably used as pendent.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8729,"https://iiif.durham.ac.uk/iiif/trifle/24/eb/bf/24ebbfc95382656260323881090829b4/8a7fe4d4abcd75f393af9028d5a69fe3.jp2/full/!400,400/0/default.jpg"
53,coins (Copper alloy with moulded inscription.),China,"Copper alloy coin of Ban liang type, inscribed with 2-character seal.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS12253,"https://iiif.durham.ac.uk/iiif/trifle/1a/84/12/1a841269aa8e66a684ad58f11b074825/28a88530fbf763caa472c98e21f83434.jp2/full/!400,400/0/default.jpg"
54,Pendant; figures (Pale brown hardstone with perforation.),China,"Hardstone pendant in the shape of a man, beared, wearing square hat and long robe that falls to his feet with dropped sleeves; there is a hole goes through the figure from top of the head to bottom of feet.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13155,"https://iiif.durham.ac.uk/iiif/trifle/a2/06/f3/a206f327f83525502b64851717d07981/dcda90ef34c4b46e8a0ae5167ed4a2c9.jp2/full/!400,400/0/default.jpg"
55,coins (Copper alloy with minted inscription.),China,"Copper alloy cash coin in the form of Wu Shu Tongbao, heavily bound edge and a rectangular perforation in the centre. Wu Shu were better cast with finished edges usually leaving no trace of the casting sprew, well developed outer rims on both sides and a inner rim on the reverse, and finer calligraphy of a more modern style.This coin has Wu Shu written in seal character 'Five Shu' in weight on the right and left. Coins of this denomination were first coined in the Yuan Shu year of the Emperor Wu Ti 122c.BCE. The reverse is plain.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS14471,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
56,bells (Yellowish-brown hardstone carving),China,"Yellowish brown hardstone carving of a bell, decorated with engraved patterns of a stylistic Animal Mask motif. The pattern is probably a simplified version of the Animal Mask; the face, horns and body parts of the monster are presented in a form of a line with curled ends, which is an early form of Sleeping Silkworm pattern. Above and below the animal masks, double rings.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13149,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.2624.JPG
57,jars (Earthenware covered with green glaze.),China,"Earthen ware jar in the form of a bronze vessel Hu, covered with deep green glaze. There are string patterns under the rim, around the shoulder, and on the belly; stands on flat base.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18352,"https://iiif.durham.ac.uk/iiif/trifle/03/27/30/032730dfe00f88673b6e1d96e014a729/b06311e2f7553ad236755569a1c35eb3.jp2/full/!400,400/0/default.jpg"
58,Cross-bow Lock (Cast bronze),China,Gilt-bronze miniature cross-bow lock.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19388,"https://iiif.durham.ac.uk/iiif/trifle/ce/fd/01/cefd0157ffa1a3c4f6589fd1e75c779e/2296f0edae2243d8253a3473fe6ff147.jp2/full/!400,400/0/default.jpg"
59,jars (Earthenware covered with lead glaze),China,"Stoneware jar, covered with crazed, green lead glaze on ring patterns; the glaze is green and mostly degraded into silvery and golden iridescence; multipul linear rings on the body; three spur marks on the rim; for burial use.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19143,"https://iiif.durham.ac.uk/iiif/trifle/8a/8d/b0/8a8db08735e5e92f38eeda65d926416e/071404b75269a7a90adaf0441dac125f.jp2/full/!400,400/0/default.jpg"
60,Belt Hook (Cast bronze),China,"Bronze belt hook in the shape of a pair of Chi dragon; onel with its head turning back as the hook, the other curled around at the other end; both Chi dragons have bifurcated tails.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18457,"https://iiif.durham.ac.uk/iiif/trifle/0b/d1/db/0bd1db323622c3c511fd957dfe4d2442/b9e0c2e7b03589e0c654d0eb0f099d49.jp2/full/!400,400/0/default.jpg"
61,tablets (Green nephrite carving with incision),China,"Large piece of green nephrite carving in octangular shape, the wider side up and carved in the form of ears and horns of a monster; there is incision at the front depicting the face of the monster. Function unknown.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13229,"https://iiif.durham.ac.uk/iiif/trifle/5c/57/d7/5c57d70130e8189c4582ca14ccd514dc/6a6f9e2b0c3f8a00aee0225e57e4c5f3.jp2/full/!400,400/0/default.jpg"
62,masks (Cast bronze),China,Bronze animal mask. Used as furnishing door knob (escutcheon) hooked with a ring.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19424,"https://iiif.durham.ac.uk/iiif/trifle/79/c8/09/79c80943a3191ba4c3e1d11ccc6191b9/79678dd00cacbbaa578fc258cb7a635f.jp2/full/!400,400/0/default.jpg"
63,Tomb Model; models; sheepfolds (Pottery with lead glaze),China,Pottery model of four sheep lying in a bowl shaped pen enclosure. Pottery with green lead glaze.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18509,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1992%2F1992.89.jpg
64,Tomb Model (Pottery with green lead glaze),China,"Earthenware tomb model of a pigfold, covered with green lead glaze.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18508,"https://iiif.durham.ac.uk/iiif/trifle/7c/12/80/7c12804742e8273edcb69436740f66d9/0236ce5a66ba0f6780cd29ce6a49458f.jp2/full/!400,400/0/default.jpg"
65,ewers (Earthenware covered in lead glaze),China,"Earthenware ewer, covered with pale green lead glaze. Short and straight neck, handle, and very short spout; standing on unglazed ring foot. Around the shoulder and the belly, string pattern.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19409,"https://iiif.durham.ac.uk/iiif/trifle/17/b2/d5/17b2d51bf8b8c97dc6bb548251287c60/5238af73fc6c6e5f7e4b53f0950b1a36.jp2/full/!400,400/0/default.jpg"
